French,English
seulement,only
pensais,thought
aide,help
demande,request
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
sois,be
matin,morning
enfant,child
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
